,year,country,temp_change,event_cases
156,2011,Portugal,1.615,0.0
157,2011,Spain,1.613,1.0
158,2011,Greece,0.394,0.0
159,2011,Italy,1.253,3.0
160,2012,Portugal,0.797,0.0
161,2012,Spain,1.043,2.0
162,2012,Greece,1.235,2.0
163,2012,Italy,1.543,2.0
164,2013,Portugal,0.941,3.0
165,2013,Spain,0.906,2.0
166,2013,Greece,1.317,0.0
167,2013,Italy,1.006,1.0
168,2014,Portugal,1.349,2.0
169,2014,Spain,1.603,1.0
170,2014,Greece,1.06,1.0
171,2014,Italy,1.638,5.0
172,2015,Portugal,1.405,1.0
173,2015,Spain,1.533,2.0
174,2015,Greece,0.904,2.0
175,2015,Italy,1.704,4.0
176,2016,Portugal,1.682,1.0
177,2016,Spain,1.714,1.0
178,2016,Greece,1.561,1.0
179,2016,Italy,1.716,1.0
180,2017,Portugal,2.109,2.0
181,2017,Spain,2.036,2.0
182,2017,Greece,0.642,2.0
183,2017,Italy,1.606,3.0
184,2018,Portugal,0.906,3.0
185,2018,Spain,1.149,4.0
186,2018,Greece,1.905,1.0
187,2018,Italy,1.834,4.0
188,2019,Portugal,1.291,1.0
189,2019,Spain,1.534,8.0
190,2019,Greece,1.381,1.0
191,2019,Italy,1.698,5.0
192,2020,Portugal,1.99,0.0
193,2020,Spain,2.083,1.0
194,2020,Greece,1.307,2.0
195,2020,Italy,1.902,6.0
196,2021,Portugal,1.251,0.0
197,2021,Spain,1.431,3.0
198,2021,Greece,1.655,1.0
199,2021,Italy,1.569,2.0
200,2022,Portugal,2.318,2.0
201,2022,Spain,2.489,2.0
202,2022,Greece,1.04,2.0
203,2022,Italy,2.135,3.0
